index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,色,都道府県,店舗
1666,212.9,12000,8,0,1,0,1,黒,山梨県,ネクステージ 甲府昭和インター店
1667,189.9,47000,9,0,1,1,1,黒Ｍ,鳥取県,ネクステージ 米子店
1668,198.9,38000,9,0,1,0,1,黒Ｍ,北海道,ネクステージ 札幌苗穂店
1669,244.9,40000,7,0,1,1,1,黒,大阪府,ＳＵＶ　ＬＡＮＤ 堺
1670,199.9,22000,11,0,1,1,1,真珠白,栃木県,ネクステージ 那須塩原店
1671,219.8,66000,5,0,1,0,1,白真珠,千葉県,ＨＵＮＴ 木更津
1672,171.2,31000,10,0,1,0,1,白真珠,岡山県,シティライト ジャック店
1673,132.7,89000,11,0,1,0,1,青Ｍ,愛知県,愛知トヨタ キャラット尾張旭店
1674,254.8,29000,5,0,1,1,1,薄茶,埼玉県,ホクエツ自動車販売 越谷店
1675,206.2,75000,5,0,1,0,1,黒Ｍ,広島県,ＷＥＣＡＲＳ（ウィーカーズ） 広島南店
1676,147.4,103000,9,0,1,1,1,真珠Ｍ,宮崎県,宮崎トヨタ自動車 ネッツ宮崎　花ヶ島マイカーセンター
1677,197.8,21000,10,0,1,1,1,真珠白,神奈川県,ネクステージ 相模原店
1678,201.8,33000,9,0,1,1,1,白真珠,埼玉県,Ｊネットカーズ　越谷レイクタウン店
1679,227,38000,8,0,1,1,1,黒Ｍ,兵庫県,ＷＥＣＡＲＳ（ウィーカーズ） 神戸垂水店
1680,197.7,45000,9,0,1,1,1,茶,埼玉県,ホクエツ自動車販売 川口本社
1681,231.9,18000,7,0,1,1,1,茶黒II,茨城県,ニチエイ・カーマックス 取手店
1682,232.7,46000,7,0,1,1,1,黒Ｍ,愛媛県,ＷＥＣＡＲＳ（ウィーカーズ） 西条店
1683,165.7,99000,6,0,1,0,1,黒Ｍ,岐阜県,トヨタカローラネッツ岐阜（株） Ｕ－Ｃａｒ大垣北店
1684,157.6,20000,11,0,1,0,1,青Ｍ,埼玉県,トヨタカローラ埼玉 羽生ＢＡＳＥ
1685,156.9,33000,11,0,1,0,1,真珠,埼玉県,ＷＥＣＡＲＳ（ウィーカーズ） 上尾店
1686,103.4,105000,10,0,1,0,1,白真珠,埼玉県,トヨタカローラ埼玉 上尾本店
1687,148.2,45000,11,0,1,0,1,白真珠,埼玉県,埼玉トヨペット 鶴ヶ島支店
1688,182.8,53000,9,0,1,1,1,真珠,京都府,ＷＥＣＡＲＳ（ウィーカーズ） 京都伏見店
